name,lat,lon,type,id,amenity,shop,tourism
"Mersinli Ciğerci Apo","39.9096515","32.8180372","node","11366992185","restaurant","",""
"Juan Rafael Mora Porras Büstü","39.8997492","32.8602005","node","11377374909","","","artwork"
"oskar kafe","39.969701","32.8349871","node","11431647895","cafe","",""
"kırıntı fırın","39.9705019","32.8348984","node","11431647897","cafe","",""
"komagene","39.9714766","32.8336955","node","11431647899","restaurant","",""
"Big Chefs","39.8832954","32.7575198","node","11435145469","restaurant","",""
"Midpoint","39.883307","32.7588034","node","11435148969","restaurant","",""
"Mado","39.8835329","32.7582841","node","11435151169","cafe","",""
"% Arabica","39.8836303","32.7577152","node","11436668969","cafe","",""
"Mezzaluna","39.8835127","32.7566992","node","11446276165","restaurant","",""
"Şöhretler Pide ve Kebap Salonu","39.970964","32.8613907","node","11446582469","restaurant","",""
"Çamaltı Pastanesi Cafe-Bistro","39.9714915","32.8617347","node","11449202669","cafe","",""
"Coffee Lab","39.5867463","32.1439811","node","11455256272","cafe","coffee",""
"Fiero Cafe","39.8683962","32.7503884","node","11456244039","cafe","",""
"Bereket Unlu Mamülleri","40.0098415","32.8998808","node","11479153826","","bakery",""
"Korg. Mehmet Şevki Ölçer Heykeli","39.9325664","32.881726","node","11524911826","","","artwork"
"Atatürk Heykeli","39.9320268","32.8818409","node","11524911827","","","artwork"
"Gloria Jean's","39.8300281","32.7348289","node","11556856228","cafe","",""
"Harper's Coffee","39.8245682","32.7225486","node","11556875583","cafe","",""
"Alaturkuaz Döner","40.0003884","32.8710901","node","11559214222","restaurant","",""
"Altın Dilim","39.9642153","32.890606","node","11586072825","","bakery",""
"Lezzetçim","39.9508768","33.0616206","node","11586084301","","bakery",""
"25 Saat","39.9456647","33.0390332","node","11586121523","","bakery",""
"Şekerci Patisserie","39.9725464","32.8911163","node","11592589220","","pastry",""
"Starbucks","39.9768228","32.8668944","node","11592686117","cafe","",""
"Starbucks","39.9750654","32.8842572","node","11592686119","cafe","",""
"Zafer Fırın","39.9730985","32.8994899","node","11592893182","","bakery",""
"MackBear Coffee","39.9471026","32.6633569","node","11685235669","cafe","",""
"Thila Coffee","39.8988493","32.7782827","node","11712013920","cafe","",""
"Turkuaz Döner","40.2391329","33.0269397","node","11760425140","restaurant","",""
"Konakbay Çibörek-Mantı","39.9057805","32.8214944","node","11787074260","restaurant","",""
"Eksi Maya","39.902735","32.861934","node","11823813988","restaurant","",""
"Kavakli Restaurant","40.0995543","32.9811669","node","11846258789","restaurant","",""
"Republique","39.9058118","32.8603912","node","11847745849","pub","",""
"Cafe Bianca","39.9313402","32.842225","node","11896469969","cafe","",""
"Dijital Hayvanat Bahçesi","39.9477142","32.7986926","node","11948843476","","","zoo"
"3 Cores Roastery Coffee Shop","39.9267296","32.8517242","node","11964128343","cafe","",""
"HYPE COFFEE","39.9171796","32.8578746","node","11964155598","cafe","",""
"Sugar Kafe","39.8838868","32.8175809","node","11999053649","cafe","",""
"urfalım lahmacun pide salonu","39.8838753","32.8169092","node","11999100065","restaurant","",""
"McDonald's","39.8229591","32.7097288","node","12000740669","fast_food","",""
"Minon","39.9028255","32.8623563","node","12009087208","","pastry",""
"Ayşe Hanım Ev Yemekleri","40.00612","32.9065451","node","12012393396","fast_food","",""
"Dadaş Piknik","39.795156","32.8023109","node","12012638257","fast_food","",""
"Kutup Dondurma","39.7948399","32.8024315","node","12012638262","ice_cream","",""
"y's Döner","39.7943829","32.8026038","node","12012638264","fast_food","",""
"Puff's Bakery & Coffee","39.9581888","32.8168899","node","12015169364","","pastry",""
"Halk Ekmek","39.9533583","32.7928033","node","12015481569","","bakery",""
"Hamur House","39.9582041","32.7905139","node","12015494270","cafe","",""
"Fırın Park","39.9554632","32.8000161","node","12015526925","","pastry",""
"E.Mevlana Etli Etmek","39.8054003","32.8027247","node","12016409644","fast_food","",""
"Meşhur Özçelik Aspava","39.8050948","32.8023939","node","12016409647","fast_food","",""
"Gölbaşı Sevgi Çiçeği","39.8054947","32.8036285","node","12016412753","","","artwork"
